name,formula,state,formula_raw,phase_flag,mw,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
phosphorus difluoride,PF2,g,P   1.00F   2.00    0.00    0.00    0.00,0,68.9705674,-513103.659,200,1000,11081.447,55247.6572,-628.05178,5.13743792,0.009120673,-1.47E-05,1.08E-08,-3.06E-12,-59775.4147,-1.689589472,1
phosphorus difluoride monochloride,PF2Cl,g,P   1.00F   2.00CL  1.00    0.00    0.00,0,104.4232674,-735076.682,200,1000,13876.318,83975.9016,-1318.075883,10.17203515,0.005571231,-1.10E-05,8.73E-09,-2.57E-12,-83816.5617,-27.66013382,1
phosphorus difluoride trichloride,PF2Cl3,g,P   1.00F   2.00CL  3.00    0.00    0.00,0,175.3286674,-878744.962,200,1000,20165.238,184209.9543,-3334.40239,23.88510873,-0.010309432,7.36E-06,-2.50E-09,2.51E-13,-92795.4989,-102.7991579,1
phosphorus trifluoride,PF3,g,P   1.00F   3.00    0.00    0.00    0.00,0,87.9689706,-957400,200,1000,12936.493,84806.3579,-1102.2934,7.16046959,0.01438341,-2.32E-05,1.70E-08,-4.81E-12,-111183.979,-14.57514002,1
phosphorus trifluoride dichloride,PF3Cl2,g,P   1.00F   3.00CL  2.00    0.00    0.00,0,158.8743706,-1122022.916,200,1000,19047.184,182249.7206,-3089.610245,20.67710388,-0.001168732,-5.02E-06,5.80E-09,-1.97E-12,-122812.0667,-86.27977921,1
phosphorus tetrafluoride monochloride,PF4Cl,g,P   1.00F   4.00CL  1.00    0.00    0.00,0,142.4200738,-1364909.395,200,1000,18320.605,180424.0323,-2741.096618,16.80192838,0.009919315,-2.03E-05,1.62E-08,-4.77E-12,-153238.2587,-66.79120281,1
phosphorus pentafluoride,PF5,g,P   1.00F   5.00    0.00    0.00    0.00,0,125.965777,-1593300,200,1000,16537.609,185572.549,-2436.91181,12.0097975,0.023394178,-3.81E-05,2.80E-08,-7.87E-12,-181456.991,-44.86301692,1
phosphorus monohydride,PH,g,P   1.00H   1.00    0.00    0.00    0.00,0,31.981701,230752.104,200,1000,8648.104,22736.33198,-397.267406,6.23369766,-0.009181785,1.52E-05,-1.09E-08,2.93E-12,28527.68404,-10.95191197,1
phosphorus dihydride,PH2,g,P   1.00H   2.00    0.00    0.00    0.00,0,32.989641,119553.47,200,1000,9981.571,15553.1601,-184.167504,4.8959395,-0.003495565,1.05E-05,-8.38E-09,2.27E-12,14098.4292,-2.210803566,1
phosphorus trihydride,PH3,g,P   1.00H   3.00    0.00    0.00    0.00,0,33.997581,5423.662,300,1000,0,0,0,3.1581935,0.002494149,9.03E-06,-1.02E-08,3.28E-12,-461.237252,6.237224816,1
phosphorus mononitride,PN,g,P   1.00N   1.00    0.00    0.00    0.00,0,44.980501,171487.305,200,1000,8702.105,-51032.0384,820.292668,-1.392772765,0.012879898,-1.40E-05,7.78E-09,-1.75E-12,15732.2652,32.51070766,1
phosphorus monoxide,PO,g,P   1.00O   1.00    0.00    0.00    0.00,0,46.973161,-27857.687,200,1000,9390.113,-68457.5406,1141.295708,-2.77955606,0.01678458,-1.97E-05,1.19E-08,-2.93E-12,-9847.74504,41.84328297,1
