Name,Formula,State,Formula-Raw,Phase-Flag,Molecular-Weight,hf298,T_low,T_high,dh298_0,a1,a2,a3,a4,a5,a6,a7,b1,b2,eq
manganese,Mn,g,MN  1.00    0.00    0.00    0.00    0.00,0,54.938049,282400,1000,6000,6197.428,5855.15582,883.858844,-0.036486626,0.002703721,-1.32E-06,2.87E-10,-1.92E-14,28678.03487,22.92541198,1
molybdenum,Mo,g,MO  1.00    0.00    0.00    0.00    0.00,0,95.94,658500,1000,6000,6197.428,5573271,-16623.65811,21.35147077,-0.010030694,2.41E-06,-1.81E-10,1.03E-15,184264.6473,-127.5326434,1
molybdenum oxide,MoO3,g,MO  1.00O   3.00    0.00    0.00    0.00,0,143.9382,-364414.339,1000,5000,0,0,0,8.5599079,0.001513691,-6.14E-07,1.08E-10,-6.23E-15,-46765.27,-16.702825,1
molybdenum oxide,Mo2O6,g,MO  2.00O   6.00    0.00    0.00    0.00,0,287.8764,-1149456.646,1000,5000,0,0,0,13.923332,0.012908749,-7.39E-06,1.75E-09,-1.44E-13,-142928.31,-36.448614,1
molybdenum oxide,Mo3O9,g,MO  3.00O   9.00    0.00    0.00    0.00,0,431.8146,-1902048.676,1000,5000,0,0,0,22.262299,0.018584967,-1.06E-05,2.49E-09,-2.05E-13,-236200.38,-71.088186,1
molybdenum oxide,Mo4O12,g,MO  4.00O  12.00    0.00    0.00    0.00,0,575.7528,-2625550.231,1000,5000,0,0,0,30.431747,0.024732646,-1.41E-05,3.33E-09,-2.74E-13,-325903.63,-107.280337,1
molybdenum oxide,Mo5O15,g,MO  5.00O  15.00    0.00    0.00    0.00,0,719.691,-3329138.617,1000,5000,0,0,0,38.622543,0.030742742,-1.75E-05,4.13E-09,-3.41E-13,-413241.56,-143.736757,1
nitrogen,N,g,N   1.00    0.00    0.00    0.00    0.00,0,14.00674,472680,1000,6000,6197.428,88765.0138,-107.12315,2.362188287,0.000291672,-1.73E-07,4.01E-11,-2.68E-15,56973.5133,4.86523579,1
nitrogen monocarbide monoxide,NCO,g,N   1.00C   1.00O   1.00    0.00    0.00,0,42.01684,131843.928,1000,6000,10194.932,73929.2978,-1617.258377,8.57491953,-0.000376455,7.04E-08,-6.69E-12,2.99E-16,22894.07064,-25.52768024,1
imidogen-d,ND,g,N   1.00D   1.00    0.00    0.00    0.00,0,16.020842,375309.257,1000,5000,0,0,0,2.8297034,0.001658418,-6.33E-07,1.15E-10,-7.83E-15,44255.951,6.00662882,1
amidogen-d2,ND2,g,N   1.00D   2.00    0.00    0.00    0.00,0,18.034944,185353.401,1000,5000,0,0,0,3.3515391,0.003376316,-1.32E-06,2.68E-10,-2.08E-14,21077.749,4.37387975,1
